           T(s)              1              2              3              4              5              6              7
      51900.000  0.2309728E+01  0.2747656E+00  0.1350223E+01  0.8417708E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      52200.000  0.2299411E+01  0.2747656E+00  0.1341280E+01  0.8349997E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      52500.000  0.2289451E+01  0.2747656E+00  0.1332651E+01  0.8284704E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      52800.000  0.2279836E+01  0.2747656E+00  0.1324321E+01  0.8221730E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      53100.000  0.2270553E+01  0.2747656E+00  0.1316281E+01  0.8160976E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      53400.000  0.2261590E+01  0.2747656E+00  0.1308518E+01  0.8102353E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      53700.000  0.2252935E+01  0.2747656E+00  0.1301022E+01  0.8045771E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      54000.000  0.2244577E+01  0.2747656E+00  0.1293783E+01  0.7991147E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      54300.000  0.2236505E+01  0.2747656E+00  0.1286790E+01  0.7938402E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      54600.000  0.2228707E+01  0.2747656E+00  0.1280035E+01  0.7887458E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      54900.000  0.2221174E+01  0.2747656E+00  0.1273508E+01  0.7838243E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      55200.000  0.2213895E+01  0.2747656E+00  0.1267199E+01  0.7790687E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      55500.000  0.2206862E+01  0.2747656E+00  0.1261102E+01  0.7744723E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      55800.000  0.2200064E+01  0.2747656E+00  0.1255207E+01  0.7700288E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      56100.000  0.2193493E+01  0.2747656E+00  0.1249507E+01  0.7657321E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      56400.000  0.2187141E+01  0.2747656E+00  0.1243994E+01  0.7615764E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      56700.000  0.2180999E+01  0.2747656E+00  0.1238661E+01  0.7575561E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      57000.000  0.2175058E+01  0.2747656E+00  0.1233501E+01  0.7536660E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      57300.000  0.2169313E+01  0.2747656E+00  0.1228507E+01  0.7499009E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      57600.000  0.2163754E+01  0.2747656E+00  0.1223674E+01  0.7462560E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      57900.000  0.2158376E+01  0.2747656E+00  0.1218995E+01  0.7427267E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      58200.000  0.2153171E+01  0.2747656E+00  0.1214463E+01  0.7393085E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      58500.000  0.2148132E+01  0.2747656E+00  0.1210075E+01  0.7359973E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      58800.000  0.2143255E+01  0.2747656E+00  0.1205823E+01  0.7327889E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      59100.000  0.2138531E+01  0.2747656E+00  0.1201704E+01  0.7296795E+00  0.1761977E+00  0.1002546E+00  0.3687960E+00
