           T(s)              1              2              3              4              5              6              7
      31500.000  0.9927969E-01  0.3704368E-01  0.1599296E+01  0.9342676E-01  0.3091153E-01  0.2762762E-01  0.3946806E-01
      31800.000  0.1019265E+00  0.3714952E-01  0.1657821E+01  0.9643853E-01  0.3099900E-01  0.2770584E-01  0.3959538E-01
      32100.000  0.1046236E+00  0.3725496E-01  0.1716637E+01  0.9943771E-01  0.3108631E-01  0.2778391E-01  0.3971930E-01
      32400.000  0.1073663E+00  0.3736008E-01  0.1775666E+01  0.1024126E+00  0.3117345E-01  0.2786183E-01  0.3984059E-01
      32700.000  0.1101349E+00  0.3743954E-01  0.1833336E+01  0.1043922E+00  0.3122624E-01  0.2791237E-01  0.3994584E-01
      33000.000  0.1128745E+00  0.3748367E-01  0.1885305E+01  0.1051295E+00  0.3124371E-01  0.2793210E-01  0.4002601E-01
      33300.000  0.1155143E+00  0.3750817E-01  0.1929679E+01  0.1052601E+00  0.3124949E-01  0.2793980E-01  0.4008705E-01
      33600.000  0.1179878E+00  0.3752176E-01  0.1966284E+01  0.1050761E+00  0.3125140E-01  0.2794281E-01  0.4013352E-01
      33900.000  0.1202456E+00  0.3752930E-01  0.1995647E+01  0.1047099E+00  0.3125203E-01  0.2794398E-01  0.4016887E-01
      34200.000  0.1222574E+00  0.3753349E-01  0.2018531E+01  0.1042215E+00  0.3125224E-01  0.2794443E-01  0.4019578E-01
      34500.000  0.1240093E+00  0.3753581E-01  0.2035726E+01  0.1036391E+00  0.3125231E-01  0.2794461E-01  0.4021625E-01
      34800.000  0.1255006E+00  0.3753710E-01  0.2047968E+01  0.1029770E+00  0.3125233E-01  0.2794468E-01  0.4023182E-01
      35100.000  0.1267395E+00  0.3753781E-01  0.2055913E+01  0.1022441E+00  0.3125234E-01  0.2794471E-01  0.4024366E-01
      35400.000  0.1277402E+00  0.3753821E-01  0.2060131E+01  0.1014472E+00  0.3125234E-01  0.2794472E-01  0.4025267E-01
      35700.000  0.1285205E+00  0.3753843E-01  0.2061121E+01  0.1005928E+00  0.3125234E-01  0.2794472E-01  0.4025952E-01
      36000.000  0.1290996E+00  0.3753855E-01  0.2059311E+01  0.9968696E-01  0.3125234E-01  0.2794473E-01  0.4026474E-01
      36300.000  0.1294973E+00  0.3753862E-01  0.2055077E+01  0.9873631E-01  0.3125234E-01  0.2794473E-01  0.4026870E-01
      36600.000  0.1297328E+00  0.3753865E-01  0.2048747E+01  0.9774732E-01  0.3125234E-01  0.2794473E-01  0.4027171E-01
      36900.000  0.1298244E+00  0.3753868E-01  0.2040608E+01  0.9672650E-01  0.3125234E-01  0.2794473E-01  0.4027401E-01
      37200.000  0.1297893E+00  0.3753869E-01  0.2030916E+01  0.9568017E-01  0.3125234E-01  0.2794473E-01  0.4027575E-01
      37500.000  0.1296430E+00  0.3753869E-01  0.2019898E+01  0.9461443E-01  0.3125234E-01  0.2794473E-01  0.4027708E-01
      37800.000  0.1294001E+00  0.3753870E-01  0.2007755E+01  0.9353504E-01  0.3125234E-01  0.2794473E-01  0.4027809E-01
      38100.000  0.1290734E+00  0.3753870E-01  0.1994669E+01  0.9244736E-01  0.3125234E-01  0.2794473E-01  0.4027885E-01
      38400.000  0.1286748E+00  0.3753870E-01  0.1980801E+01  0.9135631E-01  0.3125234E-01  0.2794473E-01  0.4027944E-01
      38700.000  0.1282147E+00  0.3753870E-01  0.1966297E+01  0.9026636E-01  0.3125234E-01  0.2794473E-01  0.4027988E-01
      39000.000  0.1277027E+00  0.3753870E-01  0.1951287E+01  0.8918152E-01  0.3125234E-01  0.2794473E-01  0.4028022E-01
      39300.000  0.1271473E+00  0.3753870E-01  0.1935886E+01  0.8810531E-01  0.3125234E-01  0.2794473E-01  0.4028047E-01
      39600.000  0.1265559E+00  0.3753870E-01  0.1920199E+01  0.8704086E-01  0.3125234E-01  0.2794473E-01  0.4028067E-01
      39900.000  0.1259354E+00  0.3753870E-01  0.1904317E+01  0.8599083E-01  0.3125234E-01  0.2794473E-01  0.4028082E-01
      40200.000  0.1252918E+00  0.3753870E-01  0.1888324E+01  0.8495752E-01  0.3125234E-01  0.2794473E-01  0.4028093E-01
      40500.000  0.1246305E+00  0.3753870E-01  0.1872290E+01  0.8394283E-01  0.3125234E-01  0.2794473E-01  0.4028102E-01
      40800.000  0.1239560E+00  0.3753870E-01  0.1856279E+01  0.8294836E-01  0.3125234E-01  0.2794473E-01  0.4028108E-01
      41100.000  0.1232728E+00  0.3753870E-01  0.1840347E+01  0.8197539E-01  0.3125234E-01  0.2794473E-01  0.4028113E-01
      41400.000  0.1225843E+00  0.3753870E-01  0.1824542E+01  0.8102493E-01  0.3125234E-01  0.2794473E-01  0.4028117E-01
      41700.000  0.1218940E+00  0.3753870E-01  0.1808906E+01  0.8009773E-01  0.3125234E-01  0.2794473E-01  0.4028120E-01
      42000.000  0.1212044E+00  0.3753870E-01  0.1793473E+01  0.7919436E-01  0.3125234E-01  0.2794473E-01  0.4028122E-01
      42300.000  0.1205183E+00  0.3753870E-01  0.1778276E+01  0.7831518E-01  0.3125234E-01  0.2794473E-01  0.4028124E-01
      42600.000  0.1198376E+00  0.3753870E-01  0.1763338E+01  0.7746037E-01  0.3125234E-01  0.2794473E-01  0.4028125E-01
      42900.000  0.1191642E+00  0.3753870E-01  0.1748681E+01  0.7662999E-01  0.3125234E-01  0.2794473E-01  0.4028126E-01
      43200.000  0.1184996E+00  0.3753870E-01  0.1734322E+01  0.7582398E-01  0.3125234E-01  0.2794473E-01  0.4028126E-01
      43500.000  0.1178453E+00  0.3753870E-01  0.1720275E+01  0.7504215E-01  0.3125234E-01  0.2794473E-01  0.4028127E-01
      43800.000  0.1172022E+00  0.3753870E-01  0.1706550E+01  0.7428424E-01  0.3125234E-01  0.2794473E-01  0.4028127E-01
      44100.000  0.1165713E+00  0.3753870E-01  0.1693155E+01  0.7354992E-01  0.3125234E-01  0.2794473E-01  0.4028128E-01
      44400.000  0.1159533E+00  0.3753870E-01  0.1680096E+01  0.7283879E-01  0.3125234E-01  0.2794473E-01  0.4028128E-01
      44700.000  0.1153488E+00  0.3753870E-01  0.1667375E+01  0.7215039E-01  0.3125234E-01  0.2794473E-01  0.4028128E-01
      45000.000  0.1147584E+00  0.3753870E-01  0.1654995E+01  0.7148423E-01  0.3125234E-01  0.2794473E-01  0.4028128E-01
      45300.000  0.1141822E+00  0.3753870E-01  0.1642955E+01  0.7083981E-01  0.3125234E-01  0.2794473E-01  0.4028128E-01
      45600.000  0.1136207E+00  0.3753870E-01  0.1631253E+01  0.7021656E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      45900.000  0.1130738E+00  0.3753870E-01  0.1619888E+01  0.6961393E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
